# Parameters of the accrued-gains stock and the gains-at-death channel.
# Sources are named per row.  Nothing here is fitted to a benchmark: the
# level of gains at death comes from Poterba & Weisbenner (2001) Table 8
# over 1998 household net worth, the mortality weighting from the NCHS
# 2022 life table against Federal Reserve DFA net worth by age, and the
# realization elasticities from Dowd, McClelland & Muthitacharoen (2015)
# with the reference rate CRS R48562 states they are adjusted to.
#
# mortality_weighted_net_worth_share prices three things: the stock's
# death exit, the lock-in wedge, and -- since Wave C -- the decedent
# COUNT, which until then divided households by estate_flow_rate, a
# flow of estate dollars over wealth dollars.  The two rows after it
# are CHECK ONLY and are read by nothing: they say what a
# headcount-weighted rate and a size-graded rate would be, and the
# second is why the count is not graded by estate size.
# Regenerate with: python scripts/build_capital_gains_data.py
key,value,source
household_net_worth_anchor_millions_usd,161238775.0,"Federal Reserve DFA (Z.1), 2024:Q4"
household_net_worth_anchor_year,2024.0,"Federal Reserve DFA (Z.1), 2024:Q4"
household_net_worth_growth_rate,0.05801476904492042,"Federal Reserve DFA (Z.1), compound annual growth 1998:Q4 to 2024:Q4"
households_millions,127.8583027362738,Federal Reserve DFA (Z.1) 2022:Q4 aggregate divided by SCF 2022 Table 4 mean family net worth
estate_flow_rate,0.003195194856902567,"Poterba & Weisbenner (2001) Table 8 expected estates $118.9B over Federal Reserve DFA household net worth, 1998:Q4. DOLLARS OVER DOLLARS: this is the flow of estate VALUE, and it is read only as the provenance of gains_at_death_share_of_net_worth (that row is this one times gain_share_of_estates). It was also used as a HEADCOUNT rate until Wave C, which gave 408,532 decedents a year against roughly 3.09 million NCHS deaths; the count now uses mortality_weighted_net_worth_share"
gains_at_death_share_of_net_worth,0.001150162656647854,"Poterba & Weisbenner (2001) Table 8 expected unrealized gains at death $42.8B over DFA household net worth, 1998:Q4"
gain_share_of_estates,0.36,Poterba & Weisbenner (2001) Table 8
mortality_weighted_net_worth_share,0.02646831735981903,"NCHS United States Life Tables 2022 (NVSR 74-02) Table 1 against Federal Reserve DFA net worth by age of head, 2024:Q4"
crude_adult_mortality_rate,0.01645579795805917,"NCHS United States Life Tables 2022 (NVSR 74-02) Table 1, the same band rates weighted by the stationary population aged 18+ (Lx) instead of by DFA net worth. CHECK ONLY - it is what the decedent count would be if the wealthy died at the population's own rate, and the gap to mortality_weighted_net_worth_share is the wealth-mortality gradient"
size_graded_tail_mortality_rate,0.028399775327831316,"NCHS band rates at the top of the wealth distribution: age-band shares proportional to (adult population share) x (band mean net worth / average)^alpha, with alpha the fitted Pareto index of the top segment in decedent_size_distribution.csv. CHECK ONLY - it is the measurement that REFUSES a size-graded decedent count, because it exceeds mortality_weighted_net_worth_share: the wealthy are older and so die at a higher rate, so grading raises the top count rather than lowering it"
accrued_gain_share_of_net_worth,0.3093238650132389,"Avery, Grodzicki & Moore (FEDS 2013-28) Figure 1 evaluated on Federal Reserve DFA net worth by percentile group, 2024:Q4"
persistent_elasticity,0.72,"Dowd, McClelland & Muthitacharoen (2015), NTJ 68(3)"
transitory_elasticity,1.2,"Dowd, McClelland & Muthitacharoen (2015), NTJ 68(3)"
elasticity_reference_rate,0.22,CRS R48562 (2025) Table 4 note: estimates adjusted to a 22 percent tax rate; the semi-log coefficient is the elasticity over this rate
mortality_rate_ageunder40,0.001088056289981779,NCHS United States Life Tables 2022 (NVSR 74-02) Table 1
mortality_rate_age40to54,0.0039392355957177235,NCHS United States Life Tables 2022 (NVSR 74-02) Table 1
mortality_rate_age55to69,0.011945646925379865,NCHS United States Life Tables 2022 (NVSR 74-02) Table 1
mortality_rate_age70plus,0.06525941437448177,NCHS United States Life Tables 2022 (NVSR 74-02) Table 1
soi_estate_charitable_floor_millions_usd,1.0,"IRS SOI Estate Tax Statistics Table 1 covers estate-tax filers only (the threshold for 2023 decedents was $12.92 million), so an estate below this size is given no charitable share rather than the filing population's propensity"
scf_2022_median_family_net_worth_thousands,192.7,"Federal Reserve Survey of Consumer Finances 2022, Table 4, All families, Median. CHECK ONLY - the size distribution is fitted to the DFA aggregates and this is what says where the fit stops"
soi_fy2024_estate_filing_threshold_millions_usd,12.92,"IRC 2010(c)(3) as adjusted, Rev. Proc. 2022-38: the basic exclusion amount for decedents dying in 2023, which is SOI Table 1's own filing threshold for filing year 2024. CHECK ONLY"
soi_fy2024_estate_returns_above_filing_threshold,7194.0,"IRS SOI Estate Tax Statistics Table 1, filing year 2024, all returns, summed over the printed size classes. CHECK ONLY on the fitted decedent size distribution's own count above that threshold"
