# Reciprocal-tariff partner schedule, read by fiscal_model/trade.py's
# create_reciprocal_tariffs(). Lane H8 of planning/HIGH_STAKES_ACCURACY.md.
#
# This file replaces TRADE_BASELINE["reciprocal_coverage_rate"] = 0.50 - "a
# flat 20pp on half of goods imports", the one number left in TRADE_BASELINE
# that was a shape assumption rather than a measurement, and a policy nobody
# proposed. Executive Order 14257 (2 April 2025; 90 FR 15041) set a rate per
# partner by a stated formula, and this is that formula applied to the Census
# series the rest of the trade module already reads.
#
#   rate_i = max(10%, (goods imports from i - goods exports to i) / imports_i / 2)
#
# Annex II exempts the sectors already under, or announced for, Section 232:
# steel, aluminium and their derivative articles (HS 72, 73, 76), autos and
# parts (HS 87), copper (HS 74), pharmaceuticals (HS 30), lumber (HS 44),
# energy (HS 27), semiconductors (HS 8541-8542) and bullion (HS 7106, 7108,
# 7118). Those are removed partner by partner, because the exemptions are
# sectoral and the sectors are not evenly spread across partners - Ireland's
# pharmaceutical share and Japan's vehicle share carve out half of each of
# those partners' trade and almost none of Cambodia's.
#
# Canada and Mexico are absent: they were never in Annex I, having been
# covered by a separate IEEPA order.
#
# Nothing here is fitted. The rows marked role=external_check are the
# published Annex I rates, transcribed from the Federal Register notice; the
# module never reads them, and they exist so that a reconstruction that drifts
# from the document is visible. The reconstruction reproduces all sixteen
# within about a point, the residual being that Annex I rounds up.
#
# Rebuild with: CENSUS_API_KEY=... python scripts/build_reciprocal_schedule.py
#
# Columns
#   cty_code    Census CTY_CODE; REMAINDER aggregates partners below
#               $0.25B of covered trade
#   role        model_input    = read by trade.py
#               external_check = a published quantity the reconstruction is
#                                compared against, never an input to it
cty_code,partner,imports_2024_billions,exports_2024_billions,annex2_exempt_imports_billions,covered_imports_billions,reciprocal_rate,role,source,page,url,published
5700,China,440.3194,143.2717,44.9403,395.3791,0.337309,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5520,Vietnam,136.3176,13.0683,11.6982,124.6194,0.452067,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4280,Germany,160.3071,75.695,59.5404,100.7666,0.263906,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5830,Taiwan,116.2849,42.498,20.6496,95.6353,0.317268,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5880,Japan,147.1165,78.8634,62.4217,84.6948,0.231969,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5800,"Korea, South",131.4573,65.7713,63.4976,67.9597,0.249838,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5330,India,87.2848,41.5812,24.0317,63.2531,0.261807,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4759,Italy,75.9947,32.4613,20.7108,55.2838,0.286424,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
5490,Thailand,62.9553,17.9065,9.2269,53.7284,0.357784,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4279,France,59.7814,43.6555,8.1154,51.666,0.134874,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
4190,Ireland,103.2644,16.7707,52.3577,50.9067,0.418797,model_input,"U.S. Census Bureau, general imports at customs value (GEN_VAL_YR) and total exports (ALL_VAL_YR), all HS2 chapters, YTD through December 2024","API timeseries/intltrade/{imports,exports}/hs",https://api.census.gov/data/timeseries/intltrade/imports/hs,2025-02
